Transaction date,Transaction ID,Merchant name,Payment ref ID / Check No,Description,Debit amount,Credit amount,Balance
2024-06-12,TXN100031,Local Farm Co-op,,Beverage restock,336.66,0.0,27014.39
2024-06-13,TXN100032,Sysco,REF-0258Bi,Beverage restock,397.08,0.0,26617.31
2024-06-13,TXN100033,US Foods,REF-1659er,Food inventory,209.82,0.0,26407.49
2024-06-14,TXN100034,US Foods,REF-9923NK,Food inventory,207.77,0.0,26199.72
2024-06-14,TXN100035,Kitchen Depot,,Equipment purchase,264.86,0.0,25934.86
2024-06-14,TXN100036,US Foods,,Food inventory,0.0,1225.92,27160.78
2024-06-14,TXN100037,Local Farm Co-op,,Food inventory,0.0,977.97,28138.75
2024-06-14,TXN100038,Payroll,,Payroll,0.0,1474.02,29612.77
2024-06-15,TXN100039,Payroll,,Payroll,0.0,438.51,30051.28
2024-06-16,TXN100040,Chase Bank,,Service fee,0.0,1593.01,31644.29
2024-06-16,TXN100041,US Foods,,Beverage restock,286.83,0.0,31357.46
2024-06-17,TXN100042,PepsiCo,,Beverage restock,0.0,697.61,32055.07
2024-06-17,TXN100043,Utilities Co.,,Utilities,0.0,1538.64,33593.71
2024-06-17,TXN100044,Kitchen Depot,,Maintenance,0.0,431.77,34025.48
2024-06-18,TXN100045,Local Butcher,,Food inventory,0.0,1299.34,35324.82
2024-06-18,TXN100046,Coca-Cola,,Beverage restock,0.0,601.33,35926.15
2024-06-18,TXN100047,Utilities Co.,,Utilities,0.0,1071.51,36997.66
2024-06-19,TXN100048,Local Farm Co-op,REF-8510QM,Beverage restock,114.87,0.0,36882.79
2024-06-19,TXN100049,Walmart,,Online supplies,0.0,1308.46,38191.25
2024-06-19,TXN100050,Amazon,,Equipment purchase,0.0,1173.91,39365.16
2024-06-19,TXN100051,Local Farm Co-op,,Food inventory,0.0,1501.19,40866.35
2024-06-19,TXN100052,Coca-Cola,,Beverage restock,0.0,822.76,41689.11
2024-06-20,TXN100053,Gordon Food Service,,Beverage restock,0.0,1550.82,43239.93
2024-06-20,TXN100054,Payroll,,Payroll,0.0,1352.21,44592.14
2024-06-20,TXN100055,Payroll,,Payroll,0.0,1312.59,45904.73
2024-06-20,TXN100056,Payroll,,Payroll,0.0,786.96,46691.69
2024-06-21,TXN100057,PepsiCo,,Beverage restock,0.0,422.07,47113.76
2024-06-21,TXN100058,PepsiCo,,Beverage restock,0.0,505.48,47619.24
2024-06-22,TXN100059,Costco,,Online supplies,0.0,1418.39,49037.63
2024-06-22,TXN100060,Utilities Co.,,Utilities,128.65,0.0,48908.98
2024-06-22,TXN100061,Gordon Food Service,REF-9623Re,Beverage restock,445.78,0.0,48463.2
2024-06-23,TXN100062,Local Butcher,,Meat purchase,0.0,499.39,48962.59
2024-06-25,TXN100063,Local Butcher,,Food inventory,385.05,0.0,48577.54
2024-06-25,TXN100064,Walmart,,Food inventory,0.0,1463.04,50040.58
2024-06-25,TXN100065,Costco,,Online supplies,0.0,861.52,50902.1
2024-06-25,TXN100066,Coca-Cola,,Beverage restock,225.13,0.0,50676.97
2024-06-26,TXN100067,Bakery Supply Co.,,Baking supplies,0.0,311.37,50988.34
2024-06-26,TXN100068,Chase Bank,,Banking fee,0.0,1262.32,52250.66
2024-06-26,TXN100069,Amazon,,Equipment purchase,0.0,940.24,53190.9
2024-06-27,TXN100070,Payroll,,Payroll,0.0,1102.82,54293.72
2024-06-27,TXN100071,Chase Bank,REF-9105wD,Service fee,147.01,0.0,54146.71
2024-06-27,TXN100072,Stripe,,Customer payment,0.0,371.17,54517.88
2024-06-28,TXN100073,Amazon,,Online supplies,46.81,0.0,54471.07
2024-06-28,TXN100074,Amazon,,Online supplies,0.0,665.4,55136.47
2024-06-28,TXN100075,Payroll,,Payroll,190.98,0.0,54945.49
2024-06-29,TXN100076,Walmart,REF-2211tY,Food inventory,178.93,0.0,54766.56
2024-06-29,TXN100077,PepsiCo,,Beverage restock,76.36,0.0,54690.2
2024-06-29,TXN100078,Payroll,REF-7780oo,Payroll,73.05,0.0,54617.15
2024-06-29,TXN100079,Amazon,,Online supplies,0.0,898.17,55515.32
2024-06-29,TXN100080,US Foods,,Beverage restock,220.11,0.0,55295.21
2024-06-29,TXN100081,Walmart,,Food inventory,25.84,0.0,55269.37
2024-06-29,TXN100082,Rent,,Monthly rent,0.0,477.43,55746.8
2024-06-29,TXN100083,Sysco,REF-5623cc,Beverage restock,460.22,0.0,55286.58
2024-06-30,TXN100084,Payroll,,Payroll,0.0,1002.06,56288.64
2024-06-30,TXN100085,Kitchen Depot,,Maintenance,0.0,362.33,56650.97
2024-06-30,TXN100086,Bakery Supply Co.,,Baking supplies,0.0,1314.51,57965.48
2024-06-30,TXN100087,Stripe,,Customer payment,0.0,1135.42,59100.9
2024-06-30,TXN100088,Chase Bank,,Banking fee,0.0,1184.4,60285.3
2024-07-01,TXN100089,Gordon Food Service,,Beverage restock,0.0,621.28,60906.58
2024-07-01,TXN100090,Sysco,,Beverage restock,225.24,0.0,60681.34
2024-07-01,TXN100091,Chase Bank,,Banking fee,0.0,604.96,61286.3
2024-07-01,TXN100092,Bakery Supply Co.,,Baking supplies,0.0,1031.39,62317.69
2024-07-01,TXN100093,Costco,,Food inventory,313.01,0.0,62004.68
2024-07-02,TXN100094,Utilities Co.,,Utilities,0.0,749.65,62754.33
2024-07-02,TXN100095,PepsiCo,,Beverage restock,0.0,876.05,63630.38
2024-07-02,TXN100096,Local Farm Co-op,,Beverage restock,0.0,983.65,64614.03
2024-07-02,TXN100097,Sysco,REF-7727zT,Beverage restock,339.82,0.0,64274.21
2024-07-03,TXN100098,Rent,,Monthly rent,0.0,1494.06,65768.27
2024-07-04,TXN100099,US Foods,,Food inventory,377.58,0.0,65390.69
2024-07-04,TXN100100,Costco,,Online supplies,0.0,1509.13,66899.82
2024-07-05,TXN100101,US Foods,,Food inventory,0.0,1057.02,67956.84
2024-07-05,TXN100102,Chase Bank,,Banking fee,0.0,928.71,68885.55
2024-07-05,TXN100103,Gordon Food Service,REF-0939vV,Beverage restock,414.04,0.0,68471.51
2024-07-07,TXN100104,Gordon Food Service,,Food inventory,0.0,1049.09,69520.6
2024-07-07,TXN100105,Payroll,,Payroll,454.24,0.0,69066.36
2024-07-07,TXN100106,Walmart,REF-6718UZ,Food inventory,313.43,0.0,68752.93
2024-07-07,TXN100107,Kitchen Depot,,Maintenance,0.0,922.28,69675.21
2024-07-07,TXN100108,Kitchen Depot,,Maintenance,266.74,0.0,69408.47
2024-07-08,TXN100109,PepsiCo,REF-7368uw,Beverage restock,248.38,0.0,69160.09
2024-07-10,TXN100110,US Foods,,Beverage restock,474.21,0.0,68685.88
2024-07-10,TXN100111,US Foods,,Beverage restock,0.0,450.92,69136.8
2024-07-10,TXN100112,Costco,,Online supplies,0.0,840.13,69976.93
2024-07-10,TXN100113,Payroll,,Payroll,213.9,0.0,69763.03
2024-07-11,TXN100114,Local Butcher,REF-8690zl,Meat purchase,413.65,0.0,69349.38
2024-07-11,TXN100115,Costco,,Online supplies,0.0,487.83,69837.21
2024-07-11,TXN100116,Stripe,,Customer payment,0.0,769.15,70606.36
2024-07-11,TXN100117,Local Farm Co-op,,Food inventory,0.0,1414.6,72020.96
2024-07-11,TXN100118,Local Butcher,REF-4246Rv,Meat purchase,448.6,0.0,71572.36
2024-07-13,TXN100119,PepsiCo,,Beverage restock,392.92,0.0,71179.44
2024-07-13,TXN100120,US Foods,,Beverage restock,0.0,819.35,71998.79
2024-07-13,TXN100121,Kitchen Depot,,Maintenance,0.0,1387.33,73386.12
2024-07-14,TXN100122,Local Butcher,,Food inventory,0.0,454.65,73840.77
2024-07-14,TXN100123,Local Farm Co-op,,Food inventory,40.84,0.0,73799.93
2024-07-14,TXN100124,Bakery Supply Co.,,Food inventory,0.0,307.82,74107.75
2024-07-14,TXN100125,Amazon,,Equipment purchase,0.0,1546.13,75653.88
2024-07-15,TXN100126,Square,,Customer payment,0.0,755.49,76409.37
2024-07-15,TXN100127,Bakery Supply Co.,REF-9765hc,Baking supplies,320.84,0.0,76088.53
2024-07-16,TXN100128,Coca-Cola,,Beverage restock,0.0,912.51,77001.04
2024-07-16,TXN100129,Stripe,,POS sale,0.0,1445.82,78446.86
2024-07-16,TXN100130,Chase Bank,,Banking fee,0.0,995.02,79441.88
2024-07-16,TXN100131,Kitchen Depot,,Maintenance,0.0,641.06,80082.94
2024-07-16,TXN100132,Local Farm Co-op,,Beverage restock,0.0,544.66,80627.6
2024-07-17,TXN100133,Sysco,REF-9125bp,Food inventory,476.22,0.0,80151.38
2024-07-17,TXN100134,Coca-Cola,,Beverage restock,0.0,1143.82,81295.2
2024-07-17,TXN100135,Rent,REF-5999vh,Monthly rent,222.42,0.0,81072.78
2024-07-18,TXN100136,Costco,,Online supplies,303.71,0.0,80769.07
2024-07-18,TXN100137,Coca-Cola,REF-3502eY,Beverage restock,405.31,0.0,80363.76
2024-07-18,TXN100138,Bakery Supply Co.,,Baking supplies,0.0,345.14,80708.9
2024-07-19,TXN100139,Rent,,Monthly rent,0.0,1135.18,81844.08
2024-07-19,TXN100140,Local Butcher,,Meat purchase,0.0,631.72,82475.8
2024-07-19,TXN100141,Rent,,Monthly rent,0.0,825.65,83301.45
2024-07-19,TXN100142,PepsiCo,REF-7960kw,Beverage restock,221.42,0.0,83080.03
2024-07-19,TXN100143,Kitchen Depot,,Maintenance,0.0,844.28,83924.31
2024-07-19,TXN100144,Sysco,,Food inventory,0.0,977.99,84902.3
2024-07-20,TXN100145,Utilities Co.,REF-4281iO,Utilities,244.33,0.0,84657.97
2024-07-20,TXN100146,Kitchen Depot,,Equipment purchase,0.0,914.64,85572.61
2024-07-21,TXN100147,Costco,,Online supplies,0.0,1476.11,87048.72
2024-07-21,TXN100148,Gordon Food Service,,Beverage restock,0.0,734.69,87783.41
2024-07-22,TXN100149,Costco,,Food inventory,0.0,366.45,88149.86
2024-07-22,TXN100150,Coca-Cola,,Beverage restock,427.6,0.0,87722.26
2024-07-22,TXN100151,Costco,,Online supplies,0.0,969.81,88692.07
2024-07-23,TXN100152,Chase Bank,,Banking fee,0.0,520.36,89212.43
2024-07-23,TXN100153,Sysco,,Beverage restock,0.0,344.07,89556.5
2024-07-23,TXN100154,Payroll,,Payroll,0.0,1242.52,90799.02
2024-07-24,TXN100155,Chase Bank,,Banking fee,55.11,0.0,90743.91
2024-07-25,TXN100156,Local Farm Co-op,,Beverage restock,0.0,870.14,91614.05
2024-07-25,TXN100157,Walmart,,Food inventory,357.75,0.0,91256.3
2024-07-25,TXN100158,Local Farm Co-op,,Beverage restock,0.0,889.61,92145.91
2024-07-25,TXN100159,Bakery Supply Co.,,Baking supplies,0.0,598.01,92743.92
2024-07-25,TXN100160,Gordon Food Service,,Beverage restock,54.93,0.0,92688.99
2024-07-26,TXN100161,Utilities Co.,,Utilities,0.0,1237.32,93926.31
2024-07-26,TXN100162,Chase Bank,,Service fee,0.0,540.3,94466.61
2024-07-26,TXN100163,Local Farm Co-op,,Beverage restock,0.0,520.79,94987.4
2024-07-26,TXN100164,Local Butcher,,Food inventory,0.0,928.88,95916.28
2024-07-26,TXN100165,Amazon,,Equipment purchase,0.0,765.03,96681.31
2024-07-27,TXN100166,Payroll,,Payroll,0.0,963.08,97644.39
2024-07-28,TXN100167,Costco,,Online supplies,0.0,1559.05,99203.44
2024-07-28,TXN100168,Payroll,,Payroll,0.0,666.08,99869.52
2024-07-28,TXN100169,US Foods,,Beverage restock,0.0,648.13,100517.65
2024-07-28,TXN100170,Stripe,,Customer payment,0.0,1412.53,101930.18
2024-07-28,TXN100171,PepsiCo,,Beverage restock,0.0,958.76,102888.94
2024-07-30,TXN100172,Chase Bank,,Banking fee,0.0,697.47,103586.41
2024-07-30,TXN100173,Kitchen Depot,,Equipment purchase,0.0,600.34,104186.75
2024-07-30,TXN100174,Stripe,,POS sale,0.0,617.12,104803.87
2024-07-31,TXN100175,Coca-Cola,REF-5295Xk,Beverage restock,472.17,0.0,104331.7
2024-07-31,TXN100176,Kitchen Depot,,Equipment purchase,0.0,528.06,104859.76
2024-08-01,TXN100177,Utilities Co.,REF-4445gT,Utilities,408.53,0.0,104451.23
2024-08-01,TXN100178,Local Farm Co-op,,Food inventory,0.0,1348.93,105800.16
2024-08-01,TXN100179,Kitchen Depot,,Equipment purchase,465.82,0.0,105334.34
2024-08-02,TXN100180,Bakery Supply Co.,,Baking supplies,338.69,0.0,104995.65
2024-08-03,TXN100181,Kitchen Depot,,Equipment purchase,0.0,1573.17,106568.82
2024-08-03,TXN100182,Costco,,Food inventory,0.0,1477.44,108046.26
2024-08-04,TXN100183,Bakery Supply Co.,,Food inventory,0.0,1189.98,109236.24
2024-08-04,TXN100184,Gordon Food Service,,Food inventory,0.0,455.83,109692.07
2024-08-04,TXN100185,Utilities Co.,,Utilities,0.0,424.98,110117.05
2024-08-04,TXN100186,Amazon,,Equipment purchase,266.77,0.0,109850.28
2024-08-05,TXN100187,Gordon Food Service,,Beverage restock,143.58,0.0,109706.7
2024-08-05,TXN100188,Gordon Food Service,,Food inventory,0.0,1227.37,110934.07
2024-08-06,TXN100189,US Foods,,Food inventory,0.0,1367.54,112301.61
2024-08-06,TXN100190,Walmart,,Food inventory,0.0,1410.49,113712.1
2024-08-06,TXN100191,US Foods,,Beverage restock,0.0,397.37,114109.47
2024-08-07,TXN100192,Chase Bank,,Service fee,0.0,939.08,115048.55
2024-08-07,TXN100193,US Foods,,Food inventory,0.0,464.51,115513.06
2024-08-07,TXN100194,PepsiCo,REF-4546Um,Beverage restock,197.15,0.0,115315.91
2024-08-07,TXN100195,Rent,REF-1426rV,Monthly rent,295.52,0.0,115020.39
2024-08-07,TXN100196,Payroll,,Payroll,0.0,347.75,115368.14
2024-08-08,TXN100197,Amazon,,Online supplies,0.0,717.27,116085.41
2024-08-08,TXN100198,Local Farm Co-op,,Beverage restock,0.0,824.23,116909.64
2024-08-08,TXN100199,Local Farm Co-op,,Beverage restock,0.0,1489.41,118399.05
2024-08-08,TXN100200,Local Farm Co-op,REF-9208zO,Beverage restock,259.95,0.0,118139.1
2024-08-08,TXN100201,Local Farm Co-op,,Beverage restock,0.0,501.27,118640.37
2024-08-08,TXN100202,Sysco,,Food inventory,292.15,0.0,118348.22
2024-08-08,TXN100203,Rent,,Monthly rent,322.96,0.0,118025.26
2024-08-08,TXN100204,Utilities Co.,,Utilities,0.0,533.1,118558.36
2024-08-08,TXN100205,Local Farm Co-op,REF-4149ve,Beverage restock,180.26,0.0,118378.1
2024-08-09,TXN100206,Local Farm Co-op,,Food inventory,0.0,1155.96,119534.06
2024-08-09,TXN100207,Utilities Co.,REF-4263aP,Utilities,458.86,0.0,119075.2
2024-08-09,TXN100208,Local Farm Co-op,,Food inventory,0.0,1118.66,120193.86
2024-08-09,TXN100209,Rent,,Monthly rent,0.0,677.78,120871.64
2024-08-09,TXN100210,Costco,,Food inventory,0.0,1466.63,122338.27
2024-08-10,TXN100211,Costco,,Online supplies,0.0,1519.66,123857.93
2024-08-10,TXN100212,Coca-Cola,,Beverage restock,464.27,0.0,123393.66
2024-08-11,TXN100213,Amazon,,Online supplies,392.77,0.0,123000.89
2024-08-11,TXN100214,Amazon,,Equipment purchase,0.0,766.56,123767.45
2024-08-11,TXN100215,Bakery Supply Co.,,Food inventory,0.0,633.97,124401.42
2024-08-12,TXN100216,Gordon Food Service,,Food inventory,0.0,509.68,124911.1
2024-08-12,TXN100217,US Foods,,Food inventory,0.0,507.34,125418.44
2024-08-13,TXN100218,Local Butcher,,Food inventory,115.52,0.0,125302.92
2024-08-13,TXN100219,Rent,,Monthly rent,0.0,528.13,125831.05
2024-08-13,TXN100220,Chase Bank,,Service fee,108.55,0.0,125722.5
2024-08-13,TXN100221,Walmart,,Online supplies,460.78,0.0,125261.72
2024-08-13,TXN100222,PepsiCo,,Beverage restock,0.0,919.07,126180.79
2024-08-13,TXN100223,Local Farm Co-op,,Beverage restock,0.0,805.33,126986.12
2024-08-14,TXN100224,Chase Bank,,Service fee,0.0,1471.79,128457.91
2024-08-14,TXN100225,Local Butcher,,Meat purchase,0.0,1190.95,129648.86
2024-08-14,TXN100226,Rent,REF-2832aO,Monthly rent,311.05,0.0,129337.81
2024-08-14,TXN100227,Bakery Supply Co.,,Baking supplies,0.0,875.65,130213.46
2024-08-14,TXN100228,Bakery Supply Co.,REF-1666kK,Food inventory,76.33,0.0,130137.13
2024-08-15,TXN100229,Square,,POS sale,0.0,1576.69,131713.82
2024-08-16,TXN100230,Amazon,,Online supplies,0.0,1234.07,132947.89
2024-08-16,TXN100231,Payroll,,Payroll,0.0,1387.71,134335.6
2024-08-16,TXN100232,Bakery Supply Co.,REF-5204lt,Food inventory,354.25,0.0,133981.35
2024-08-16,TXN100233,Sysco,REF-6877IC,Beverage restock,381.13,0.0,133600.22
2024-08-17,TXN100234,Bakery Supply Co.,,Baking supplies,0.0,1574.68,135174.9
2024-08-17,TXN100235,Rent,,Monthly rent,0.0,1445.27,136620.17
2024-08-17,TXN100236,Chase Bank,,Banking fee,0.0,990.32,137610.49
2024-08-17,TXN100237,Walmart,,Food inventory,0.0,364.65,137975.14
2024-08-18,TXN100238,Coca-Cola,,Beverage restock,0.0,1219.16,139194.3
2024-08-18,TXN100239,Kitchen Depot,,Equipment purchase,0.0,300.57,139494.87
2024-08-18,TXN100240,Kitchen Depot,,Equipment purchase,332.94,0.0,139161.93
2024-08-19,TXN100241,Square,,POS sale,0.0,425.98,139587.91
2024-08-19,TXN100242,Local Farm Co-op,,Food inventory,398.44,0.0,139189.47
2024-08-19,TXN100243,Local Butcher,,Meat purchase,206.64,0.0,138982.83
2024-08-19,TXN100244,Square,,POS sale,0.0,1523.33,140506.16
2024-08-21,TXN100245,Kitchen Depot,REF-3020LL,Equipment purchase,71.93,0.0,140434.23
2024-08-21,TXN100246,Stripe,,Customer payment,0.0,1458.74,141892.97
2024-08-22,TXN100247,Gordon Food Service,REF-2595Ze,Beverage restock,161.62,0.0,141731.35
2024-08-23,TXN100248,PepsiCo,,Beverage restock,0.0,989.48,142720.83
2024-08-23,TXN100249,Square,,POS sale,0.0,1337.36,144058.19
2024-08-24,TXN100250,Kitchen Depot,,Maintenance,0.0,1360.98,145419.17
2024-08-24,TXN100251,Sysco,,Food inventory,0.0,1518.21,146937.38
2024-08-25,TXN100252,Coca-Cola,,Beverage restock,0.0,1397.19,148334.57
2024-08-25,TXN100253,Local Farm Co-op,,Food inventory,0.0,590.04,148924.61
2024-08-25,TXN100254,Local Farm Co-op,,Beverage restock,0.0,1090.77,150015.38
2024-08-26,TXN100255,Square,,Customer payment,0.0,424.99,150440.37
2024-08-26,TXN100256,Sysco,,Beverage restock,0.0,852.99,151293.36
2024-08-26,TXN100257,Gordon Food Service,,Food inventory,32.59,0.0,151260.77
2024-08-26,TXN100258,Costco,,Food inventory,0.0,658.07,151918.84
2024-08-26,TXN100259,Local Butcher,REF-7036mo,Meat purchase,132.28,0.0,151786.56
2024-08-27,TXN100260,Amazon,,Online supplies,0.0,1089.79,152876.35
2024-08-27,TXN100261,US Foods,,Beverage restock,310.84,0.0,152565.51
2024-08-27,TXN100262,US Foods,,Beverage restock,0.0,1094.27,153659.78
2024-08-27,TXN100263,Bakery Supply Co.,,Baking supplies,0.0,1350.84,155010.62
2024-08-27,TXN100264,Square,,Customer payment,0.0,1439.61,156450.23
2024-08-28,TXN100265,Costco,,Food inventory,0.0,678.76,157128.99
2024-08-28,TXN100266,Stripe,,Customer payment,0.0,1354.88,158483.87
2024-08-28,TXN100267,Costco,,Online supplies,0.0,508.3,158992.17
2024-08-28,TXN100268,Walmart,,Food inventory,0.0,472.6,159464.77
2024-08-28,TXN100269,PepsiCo,,Beverage restock,0.0,984.62,160449.39
2024-08-28,TXN100270,Amazon,,Online supplies,148.43,0.0,160300.96
2024-08-29,TXN100271,Costco,,Food inventory,0.0,548.17,160849.13
2024-08-29,TXN100272,US Foods,,Food inventory,295.44,0.0,160553.69
2024-08-29,TXN100273,Utilities Co.,,Utilities,47.2,0.0,160506.49
2024-08-29,TXN100274,Coca-Cola,REF-9430Wg,Beverage restock,139.44,0.0,160367.05
2024-08-30,TXN100275,Chase Bank,,Banking fee,0.0,1299.06,161666.11
2024-08-30,TXN100276,Sysco,REF-2860TE,Beverage restock,305.43,0.0,161360.68
2024-08-30,TXN100277,Stripe,,POS sale,0.0,1068.01,162428.69
2024-09-01,TXN100278,Costco,REF-8968cb,Food inventory,407.63,0.0,162021.06
2024-09-01,TXN100279,Bakery Supply Co.,,Food inventory,145.6,0.0,161875.46
2024-09-01,TXN100280,Gordon Food Service,,Food inventory,0.0,1598.31,163473.77
2024-09-01,TXN100281,Gordon Food Service,,Beverage restock,0.0,1086.0,164559.77
2024-09-02,TXN100282,Chase Bank,,Banking fee,0.0,986.8,165546.57
2024-09-02,TXN100283,Local Butcher,,Food inventory,135.22,0.0,165411.35
2024-09-02,TXN100284,Rent,REF-6467QY,Monthly rent,184.45,0.0,165226.9
2024-09-02,TXN100285,Chase Bank,,Banking fee,0.0,838.33,166065.23
2024-09-03,TXN100286,Amazon,,Online supplies,274.1,0.0,165791.13
2024-09-03,TXN100287,US Foods,,Food inventory,0.0,616.06,166407.19
2024-09-03,TXN100288,Sysco,,Beverage restock,0.0,1177.54,167584.73
2024-09-04,TXN100289,Bakery Supply Co.,,Food inventory,0.0,363.52,167948.25
2024-09-04,TXN100290,Local Butcher,,Meat purchase,0.0,1211.8,169160.05
2024-09-04,TXN100291,Coca-Cola,,Beverage restock,0.0,737.7,169897.75
2024-09-04,TXN100292,Costco,,Food inventory,0.0,609.61,170507.36
2024-09-05,TXN100293,PepsiCo,,Beverage restock,0.0,1324.24,171831.6
2024-09-05,TXN100294,Coca-Cola,,Beverage restock,0.0,1479.73,173311.33
2024-09-05,TXN100295,Local Butcher,,Meat purchase,0.0,462.83,173774.16
2024-09-06,TXN100296,US Foods,,Beverage restock,300.08,0.0,173474.08
2024-09-06,TXN100297,Utilities Co.,,Utilities,171.83,0.0,173302.25
2024-09-06,TXN100298,Rent,,Monthly rent,0.0,800.95,174103.2
2024-09-06,TXN100299,Chase Bank,,Banking fee,0.0,882.27,174985.47
2024-09-07,TXN100300,Local Butcher,,Food inventory,0.0,817.72,175803.19
2024-09-08,TXN100301,Local Farm Co-op,,Beverage restock,0.0,448.24,176251.43
2024-09-08,TXN100302,Chase Bank,,Banking fee,0.0,756.37,177007.8
2024-09-08,TXN100303,Rent,,Monthly rent,0.0,1165.2,178173.0
2024-09-08,TXN100304,Utilities Co.,,Utilities,0.0,618.97,178791.97
2024-09-09,TXN100305,Utilities Co.,,Utilities,0.0,958.5,179750.47
2024-09-09,TXN100306,Costco,,Online supplies,0.0,1392.13,181142.6
2024-09-10,TXN100307,Amazon,,Online supplies,0.0,1008.9,182151.5
2024-09-10,TXN100308,Utilities Co.,,Utilities,0.0,476.68,182628.18
2024-09-11,TXN100309,Sysco,REF-7400Ra,Beverage restock,395.77,0.0,182232.41
2024-09-15,TXN100310,Coca-Cola,,Beverage restock,0.0,866.37,183098.78
2024-09-15,TXN100311,PepsiCo,REF-1821Ri,Beverage restock,236.17,0.0,182862.61
2024-09-15,TXN100312,Chase Bank,REF-0977JZ,Banking fee,221.62,0.0,182640.99
2024-09-15,TXN100313,Kitchen Depot,,Maintenance,0.0,772.06,183413.05
2024-09-17,TXN100314,Utilities Co.,,Utilities,0.0,1520.76,184933.81
2024-09-17,TXN100315,Kitchen Depot,REF-7890Hz,Maintenance,220.11,0.0,184713.7
2024-09-17,TXN100316,Amazon,,Equipment purchase,0.0,1405.53,186119.23
2024-09-17,TXN100317,Kitchen Depot,,Equipment purchase,0.0,373.1,186492.33
2024-09-18,TXN100318,Sysco,,Food inventory,0.0,472.98,186965.31
2024-09-18,TXN100319,Payroll,,Payroll,0.0,1228.39,188193.7
2024-09-18,TXN100320,Payroll,REF-1291If,Payroll,308.69,0.0,187885.01
2024-09-18,TXN100321,Local Farm Co-op,,Food inventory,0.0,612.06,188497.07
2024-09-18,TXN100322,Local Butcher,,Meat purchase,0.0,1495.73,189992.8
2024-09-20,TXN100323,Sysco,,Food inventory,0.0,1525.82,191518.62
2024-09-20,TXN100324,Kitchen Depot,,Maintenance,0.0,999.9,192518.52
2024-09-20,TXN100325,PepsiCo,,Beverage restock,0.0,626.42,193144.94
2024-09-20,TXN100326,Rent,,Monthly rent,0.0,1457.97,194602.91
2024-09-21,TXN100327,Chase Bank,,Banking fee,0.0,678.78,195281.69
2024-09-21,TXN100328,Walmart,,Food inventory,0.0,1469.32,196751.01
2024-09-21,TXN100329,Amazon,,Online supplies,0.0,1299.83,198050.84
2024-09-21,TXN100330,Stripe,,Customer payment,0.0,852.88,198903.72
2024-09-22,TXN100331,PepsiCo,,Beverage restock,0.0,939.36,199843.08
2024-09-22,TXN100332,Local Farm Co-op,,Beverage restock,471.56,0.0,199371.52
2024-09-22,TXN100333,Gordon Food Service,,Beverage restock,49.1,0.0,199322.42
2024-09-22,TXN100334,Gordon Food Service,,Beverage restock,0.0,1045.94,200368.36
2024-09-23,TXN100335,Local Farm Co-op,,Food inventory,0.0,472.19,200840.55
